index,altitude
1,1008.071
2,1019.935
3,1022.224
4,1018.520
5,1018.130
6,1023.087
7,1032.667
8,1032.316
9,1036.580
10,1046.920
11,1043.673
12,1053.217
13,1051.597
14,1047.479
15,1057.642
16,1056.396
17,1060.271
18,1060.527
19,1060.657
20,1068.405
21,1079.084
22,1083.380
23,1087.810
24,1086.236
25,1082.996
26,1077.203
27,1089.024
28,1091.051
29,1092.849
30,1100.181
31,1250.181
32,1257.497
33,1255.366
34,1262.563
35,1260.168
36,1262.333
37,1257.139
38,1267.702
39,1267.447
40,1269.902
41,1272.728
42,1270.814
43,1278.022
44,1278.392
45,1282.858
46,1293.947
47,1292.480
48,1303.700
49,1306.664
50,1313.454
51,1312.803
52,1311.516
53,1316.984
54,1328.630
55,1339.772
56,1351.667
57,1348.072
58,1341.422
59,1353.137
60,1359.569
